filename,scientific_name_image,scientific_name_image_conf,SEM_number_image,SEM_number_image_conf,angle_image,angle_image_conf,scientific_name_filename,SEM_number_filename,angle_filename,scientific_name_matches,SEM_number_matches,angle_matches,all_matches
Ipelates latus form A (1dorsal) .jpg,Ipelates latus form A,0.9276058209700943,SEM-UBC COL-28994,0.9701651809196497,dorsal,0.9276058209700943,Ipelates latus form A,,dorsal,True,,True,True
Leptomantispa pulchella (3lateral).jpg,Lepromantispa pulchnella,0.7430531868355156,SEM-UBC NEU-0917,0.7276965949662121,lateral,0.7430531868355156,Leptomantispa pulchella,,lateral,False,,True,False
Agyrtes longulus (1dorsal) .jpg,Agyrtes longulus,0.8694382348868305,SEM-UBC COL-28989,0.5493974995624425,dorsal,0.8694382348868305,Agyrtes longulus,,dorsal,True,,True,True
Aegialia crassa (3lateral) .jpeg,Aegialia crassa,0.8896320545501428,SEM-UBC COL-27498,0.8835311504459692,lateral,0.8896320545501428,Aegialia crassa,,lateral,True,,True,True
Folsomia fimetaria (1left) COLL-0008.jpeg,Folsomia fimetaria var. dentata,0.8507538804038242,SEM-UBC COLL-0OO8,0.5960979301003956,left,0.8507538804038242,Folsomia fimetaria,,left,False,,True,False
Aderus populneus (4front).jpg,Aderus brunnipennis,0.9877023331632934,SEM-UBC COL-28948,0.8797865677630884,front,0.9877023331632934,Aderus populneus,,front,False,,True,False
Amphizoa lecontei (3lateral).jpg,Amphizoa lecontei,0.7631330856427723,SEM-UBC COL-0057,0.7591110273111319,lateral,0.7631330856427723,Amphizoa lecontei,,lateral,True,,True,True
Blattella vaga (2ventral) SEM-UBC DIC-0172.jpg,Blattella vaga,0.8640360972591545,SEM-UBC DIC-0172,0.9972396054575058,ventral,0.8640360972591545,Blattella vaga,SEM-UBC DIC-0172,ventral,True,True,True,True
Parcoblatta pennsylvanica (1dorsal) SEM-UBC DIC-0186.jpg,Parcoblatta pennsylvanica,0.911754907424945,SEM-UBC DIC-0186,0.7454214414743673,dorsal,0.911754907424945,Parcoblatta pennsylvanica,SEM-UBC DIC-0186,dorsal,True,True,True,True
Cryptotermes brevis (1dorsal) wings only.jpg,Cryptotermes brevis,0.7739473862091649,SEM-UBC ISO-0050,0.9351383627997681,dorsal,0.7739473862091649,Cryptotermes brevis,,dorsal,True,,True,True
Isotoma viridis (6fullslide) COLL-0005.jpeg,Isotoma viridis,0.9960868003429874,SEM-UBC COLL-0OO5,0.5415113508244909,full slide,0.9960868003429874,Isotoma viridis,,fullslide,True,,True,True
Pteroloma nebrioides (3lateral) .jpg,Pteroloma nebrioides,0.7521394692902788,SEM-UBC COL-28998,0.9503204677383598,lateral,0.7521394692902788,Pteroloma nebrioides,,lateral,True,,True,True
Ptenothrix unicolor (2right) COLL-0004.jpeg,Ptenothrix unicolor,0.9920020122496853,SEM-UBC COLL-0004,0.7392990063159393,right,0.9920020122496853,Ptenothrix unicolor,,right,True,,True,True
Aegialia conferta (3lateral)   SEM-UBC COL-32354.jpeg,Aegialia conferta,0.7962095665378907,SEM-UBC COL-32354,0.873539815118943,lateral,0.7962095665378907,Aegialia conferta,SEM-UBC COL-32354,lateral,True,True,True,True
Tomocerus brevimucronatus (5full) COLL-0012.jpeg,Tomocerus brevimucronatus,0.9903960095805695,SEM-UBC COLL-0012,0.9881765022752051,full,0.9903960095805695,Tomocerus brevimucronatus,,full,True,,True,True
Supella longipalpa form B (3lateral) .jpg,Supella longipalpa form B,0.8131699522597445,SEM-UBC DIC-0090,0.9787571867848041,lateral,0.8131699522597445,Supella longipalpa form B,,lateral,True,,True,True
Ptenothrix unicolor (2right) COLL-0004.jpg,Ptenothrix unicolor,0.9920020122496853,SEM-UBC COLL-0004,0.7392990063159393,right,0.9920020122496853,Ptenothrix unicolor,,right,True,,True,True
